001,00000000,00000000,0,b0201073,3,000,00,00000000,000
001,00000000,00000004,0,b8201073,3,000,00,00000000,000
001,00000000,00000008,0,ee0000b7,3,000,00,00000000,000
001,00000000,0000000c,0,30509073,3,000,00,00000000,000
001,00000000,00000010,0,5f5550b7,3,000,00,00000000,000
001,00000000,00000014,0,55508093,3,000,00,00000000,000
001,00000000,00000018,0,7c009073,3,000,00,00000000,000
001,00000000,0000001c,0,d05801b7,3,000,00,00000000,000
001,00000000,00000020,0,10217,3,000,00,00000000,000
011,00000028,00000024,6485,fef20213,3,000,00,00000000,000
011,0000002c,0000002a,4000313,6509,3,000,00,00000000,000
011,00000032,00000030,8000413,839a,3,000,00,00000000,000
001,00000032,00000036,8000413,26383b3,3,000,00,00000000,000
001,00000032,0000003a,8000413,2640433,3,000,00,00000000,000
001,00000032,0000003e,8000413,2640633,3,000,00,00000000,000
011,00000046,00000042,4081,26386b3,3,000,00,00000000,000
011,0000004c,00000048,85,2939463,3,000,00,00000000,000
011,00000052,0000004e,20283,2a41163,3,000,00,00000000,000
011,0000005a,00000056,205,518023,3,000,00,00000000,000
001,00000060,0000005c,d05801b7,fe029be3,3,000,00,00000000,000
001,0000007e,00000052,518023,20283,3,000,00,00000000,000
011,0000005a,00000056,205,518023,3,000,00,00000000,000
001,00000060,0000005c,d05801b7,fe029be3,3,000,00,00000000,000
001,0000007e,00000052,518023,20283,3,000,00,00000000,000
011,0000005a,00000056,205,518023,3,000,00,00000000,000
001,0000005a,0000005c,205,fe029be3,3,000,00,00000000,000
001,0000005a,00000052,205,20283,3,000,00,00000000,000
011,0000005a,00000056,205,518023,3,000,00,00000000,000
001,00000060,0000005c,d05801b7,fe029be3,3,000,00,00000000,000
001,0000007e,00000052,518023,20283,3,000,00,00000000,000
011,0000005a,00000056,205,518023,3,000,00,00000000,000
001,00000060,0000005c,d05801b7,fe029be3,3,000,00,00000000,000
001,0000007e,00000052,518023,20283,3,000,00,00000000,000
011,0000005a,00000056,205,518023,3,000,00,00000000,000
001,0000005a,0000005c,205,fe029be3,3,000,00,00000000,000
001,0000005a,00000052,205,20283,3,000,00,00000000,000
011,0000005a,00000056,205,518023,3,000,00,00000000,000
001,0000005a,0000005c,205,fe029be3,3,000,00,00000000,000
001,0000005a,00000052,205,20283,3,000,00,00000000,000
011,0000005a,00000056,205,518023,3,000,00,00000000,000
001,0000005a,0000005c,205,fe029be3,3,000,00,00000000,000
001,0000005a,00000052,205,20283,3,000,00,00000000,000
011,0000005a,00000056,205,518023,3,000,00,00000000,000
001,0000005a,0000005c,205,fe029be3,3,000,00,00000000,000
001,0000005a,00000052,205,20283,3,000,00,00000000,000
011,0000005a,00000056,205,518023,3,000,00,00000000,000
001,0000005a,0000005c,205,fe029be3,3,000,00,00000000,000
001,0000005a,00000052,205,20283,3,000,00,00000000,000
011,0000005a,00000056,205,518023,3,000,00,00000000,000
001,0000005a,0000005c,205,fe029be3,3,000,00,00000000,000
001,0000005a,00000052,205,20283,3,000,00,00000000,000
011,0000005a,00000056,205,518023,3,000,00,00000000,000
001,0000005a,0000005c,205,fe029be3,3,000,00,00000000,000
001,0000005a,00000052,205,20283,3,000,00,00000000,000
011,0000005a,00000056,205,518023,3,000,00,00000000,000
001,0000005a,0000005c,205,fe029be3,3,000,00,00000000,000
